
Classifying The Data ...
    Number of input layer nodes  : 120
    Number of hidden layer nodes : 20
    Hidden Layer Activation Type : ReLU
    Output Layer Activation Type : Logistic

Frame Number 168, Classification: 3, Probability: 1.000000
Frame Number 169, Classification: 3, Probability: 1.000000
Frame Number 170, Classification: 3, Probability: 1.000000
Frame Number 171, Classification: 3, Probability: 1.000000
Frame Number 172, Classification: 3, Probability: 1.000000
Frame Number 173, Classification: 3, Probability: 1.000000
Frame Number 174, Classification: 3, Probability: 1.000000
Frame Number 175, Classification: 3, Probability: 1.000000
Frame Number 176, Classification: 3, Probability: 1.000000
Frame Number 177, Classification: 3, Probability: 1.000000
Frame Number 178, Classification: 3, Probability: 1.000000
Frame Number 179, Classification: 3, Probability: 1.000000
Frame Number 180, Classification: 3, Probability: 1.000000
Frame Number 181, Classification: 3, Probability: 1.000000
Frame Number 182, Classification: 3, Probability: 1.000000
Frame Number 183, Classification: 3, Probability: 1.000000
Frame Number 184, Classification: 3, Probability: 1.000000
Frame Number 185, Classification: 3, Probability: 1.000000
Frame Number 186, Classification: 3, Probability: 1.000000
Frame Number 187, Classification: 3, Probability: 1.000000
Frame Number 188, Classification: 3, Probability: 1.000000
Frame Number 189, Classification: 3, Probability: 1.000000
Frame Number 190, Classification: 3, Probability: 1.000000
Frame Number 191, Classification: 3, Probability: 1.000000
Frame Number 192, Classification: 3, Probability: 1.000000
Frame Number 193, Classification: 3, Probability: 1.000000
Frame Number 194, Classification: 3, Probability: 1.000000
Frame Number 195, Classification: 3, Probability: 1.000000
Frame Number 196, Classification: 3, Probability: 1.000000
Frame Number 197, Classification: 3, Probability: 1.000000
Frame Number 198, Classification: 3, Probability: 1.000000
Frame Number 199, Classification: 3, Probability: 1.000000
Frame Number 200, Classification: 3, Probability: 1.000000
Frame Number 201, Classification: 3, Probability: 1.000000
Frame Number 202, Classification: 3, Probability: 1.000000
Frame Number 203, Classification: 3, Probability: 1.000000
Frame Number 204, Classification: 3, Probability: 1.000000
Frame Number 205, Classification: 3, Probability: 1.000000
Frame Number 206, Classification: 3, Probability: 1.000000
Frame Number 207, Classification: 3, Probability: 1.000000
